Name,Latitude,Longitude,Timings,Entry Fees,Time Required,Priority
New Market,22.5602,88.3528,10 AM - 8 PM,Free,2 hours,High
Quest Mall,22.539,88.365,10 AM - 9 PM,Free,2 hours,High
Gariahat,22.5215,88.365,11 AM - 9 PM,Free,2 hours,High
Chandni Market,22.5643,88.3563,10 AM - 8 PM,Free,1.5 hours,Medium
College Street,22.5747,88.3639,10 AM - 8 PM,Free,2 hours,High
Hatibagan,22.5952,88.3732,10 AM - 9 PM,Free,1.5 hours,Medium
City Centre 1,22.5868,88.4174,11 AM - 9 PM,Free,2 hours,High
City Centre 2,22.6478,88.452,11 AM - 9 PM,Free,2 hours,Medium
Axis Mall,22.5771,88.462,10 AM - 10 PM,Free,2 hours,Medium
Diamond Plaza,22.624,88.4072,10 AM - 9 PM,Free,1.5 hours,Low
Malik Ghat Flower Market,22.5836,88.3465,4 AM - 12 PM,Free,1 hour,High
South City Mall,22.5036,88.3616,10 AM - 10 PM,Free,2.5 hours,High
Mani Square Mall,22.5764,88.4004,10 AM - 9:30 PM,Free,2 hours,Medium
Acropolis Mall,22.5108,88.3932,10 AM - 9:30 PM,Free,2 hours,High
Lake Mall,22.5144,88.3532,11 AM - 9 PM,Free,1.5 hours,Medium
E Mall,22.5656,88.3538,10 AM - 8 PM,Free,1.5 hours,Low
Forum Courtyard,22.5399,88.3525,10 AM - 8:30 PM,Free,2 hours,Medium
Shree Ram Arcade,22.5564,88.3522,11 AM - 8 PM,Free,1.5 hours,Low
